Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       22.05.25
Time:       21:12
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Comment                                                              Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                                             "Manufacturer 1"                           "Manufacturer 1 Prt. Nr." "Manufacturer 2"            "Manufacturer 2 Prt. Nr." 
H22        9774070360R                                                          BottomLayer 9774070360R                           212.0000     138.0000     180      "Würth Standoff M3 h:7mm 9774070360R"                                                                   "Würth Elektronik"                         9774070360R               ""                          ""                        
R132       "5.1k 1%"                                                            TopLayer    RES_0402_L                            225.9000     29.2000      180      "Thick Film Resistors - SMD 5.1kOhm 1%"                                                                 "Vishay / Dale"                            CRCW04025K10FKTD          Yageo                       AC0402FR-075K1L           
D76        CESDP0402UC5VB                                                       BottomLayer TVS_0402                              225.6000     48.3000      0        "Low Capacitance ESD Protection Diode 0402"                                                             CREATEK                                    CESDP0402UC5VB            BORN                        BPESD0402-05ST            
D75        CESDP0402UC5VB                                                       TopLayer    TVS_0402                              226.4250     50.0500      0        "Low Capacitance ESD Protection Diode 0402"                                                             CREATEK                                    CESDP0402UC5VB            BORN                        BPESD0402-05ST            
D74        CESDP0402UC5VB                                                       BottomLayer TVS_0402                              214.3336     58.2485      90       "Low Capacitance ESD Protection Diode 0402"                                                             CREATEK                                    CESDP0402UC5VB            BORN                        BPESD0402-05ST            
R68        "10k 1%"                                                             TopLayer    RES_0402_L                            207.6000     52.8000      180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
T1         QT24A01                                                              TopLayer    QT24A01                               24.2600      225.2000     270      "1:1 350 28 1.2 -1 -16 SMD,24PIN RJ45 Transformer RoHS"                                                 TNK                                        QT24A01                   ""                          ""                        
R150       "75R 1%"                                                             TopLayer    RES_0805                              16.4000      230.7500     180      "Thick Film Resistors - SMD 75Ohm 1%"                                                                   Bourns                                     CR0805-FX-75R0ELF         Panasonic                   ERJ-6ENF75R0V             
R149       "110R 1%"                                                            TopLayer    RES_0402_L                            12.6000      218.1000     180      "Thick Film Resistors - SMD 110Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402110RFKTD          Yageo                       RC0402FR-7W110RL          
R137       "110R 1%"                                                            TopLayer    RES_0402_L                            12.3250      229.9750     270      "Thick Film Resistors - SMD 110Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402110RFKTD          Yageo                       RC0402FR-7W110RL          
R131       "75R 1%"                                                             TopLayer    RES_0805                              16.4500      227.7000     180      "Thick Film Resistors - SMD 75Ohm 1%"                                                                   Bourns                                     CR0805-FX-75R0ELF         Panasonic                   ERJ-6ENF75R0V             
J34        R-RJ45R08P-C000                                                      TopLayer    Ckmtw_-_R-RJ45R08P-C000               5.4590       225.0000     270      "RJ45 8 1 Shielded Yellow - Green Through Hole Ethernet Connectors/Modular Connectors (RJ45 RJ11) RoHS" "Ckmtw(Shenzhen Cankemeng)"                R-RJ45R08P-C000           ""                          ""                        
C166       "1nF 2000V"                                                          TopLayer    CAP_1206                              15.8500      218.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 2000VDC"                                             Yageo                                      CC1206MKX7RDBB102         Walsin                      1206B102M202CT            
C165       "10nF 50V"                                                           TopLayer    CAP_0402_L                            31.0500      230.7000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Wurth Elektronik"                         885012205067              Yageo                       AC0402KPX7R9BB103         
C164       "10nF 50V"                                                           TopLayer    CAP_0402_L                            31.0500      227.7000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Wurth Elektronik"                         885012205067              Yageo                       AC0402KPX7R9BB103         
C162       "10nF 50V"                                                           TopLayer    CAP_0402_L                            31.0500      224.7000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Wurth Elektronik"                         885012205067              Yageo                       AC0402KPX7R9BB103         
C161       "10nF 50V"                                                           TopLayer    CAP_0402_L                            31.0500      221.7000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Wurth Elektronik"                         885012205067              Yageo                       AC0402KPX7R9BB103         
J31        "PINREX 744-81-04TG20"                                               TopLayer    PINREX_744-81-04TG20                  195.0500     222.1150     180      "FAN Connector header 2.54mm 4Pol"                                                                      PINREX                                     744-81-04TG20             ""                          ""                        
U13        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    116.9500     171.7000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
R290       "10k 1%"                                                             TopLayer    RES_0402                              115.0000     174.9500     180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R289       "10R 1%"                                                             TopLayer    RES_0402                              116.9000     177.6500     0        "Thick Film Resistors - SMD 10Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040210R0FKEE          Yageo                       RC0402FR-7W10RL           
R288       "1k 1%"                                                              TopLayer    RES_0402                              128.5500     209.0000     90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R116       "1k 1%"                                                              TopLayer    RES_0402_L                            157.8000     36.0000      90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R115       "1k 1%"                                                              TopLayer    RES_0402_L                            156.0000     36.0000      90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R114       "1k 1%"                                                              TopLayer    RES_0402_L                            156.9000     36.0000      90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
R113       "1k 1%"                                                              TopLayer    RES_0402_L                            155.1000     36.0000      90       "Thick Film Resistors - SMD 1kOhm 1%"                                                                   "Vishay / Dale"                            CRCW04021K00FKEDC         Yageo                       RC0402FR-7W1KL            
L12        XAL7070-801MEC                                                       TopLayer    COILCRAFT_XAL7070                     153.3000     231.1500     270      "Power Inductors - SMD 800nH Shld 20% 25.8A 2.29mOhms AECQ200"                                          Coilcraft                                  XAL7070-801MEC            ""                          ""                        
D34        CESDP0402UC5VB                                                       BottomLayer TVS_0402                              202.4000     201.6500     90       "Low Capacitance ESD Protection Diode 0402"                                                             CREATEK                                    CESDP0402UC5VB            BORN                        BPESD0402-05ST            
D33        CESDP0402UC5VB                                                       BottomLayer TVS_0402                              202.4000     199.2500     270      "Low Capacitance ESD Protection Diode 0402"                                                             CREATEK                                    CESDP0402UC5VB            BORN                        BPESD0402-05ST            
D32        824014883                                                            TopLayer    WE-TVS-DFN3810-9L                     198.2811     207.2426     0        "ESD Suppressors / TVS Diodes WE-TVS Diode Array 3.3V 0.5pF 8Channel"                                   "Wurth Elektronik"                         824014883                 ""                          ""                        
C153       "100nF 50V"                                                          BottomLayer CAP_0402_L                            136.4000     102.7000     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C152       "100nF 50V"                                                          BottomLayer CAP_0402_L                            135.1500     96.0500      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C151       "100nF 50V"                                                          BottomLayer CAP_0402_L                            135.1500     94.0122      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C150       "100nF 50V"                                                          BottomLayer CAP_0402_L                            98.3500      93.3000      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C149       "100nF 50V"                                                          BottomLayer CAP_0402_L                            98.3500      91.5500      0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
U41        AP22816AKCWT-7                                                       TopLayer    SOT95P285X140-5N                      186.8500     201.3000     270      "Power Switch ICs - Power Distribution Load Switch"                                                     "Diodes Incorporated"                      AP22816AKCWT-7            ""                          ""                        
U40        TLV62568ADRL                                                         TopLayer    SON50P150X80-6N                       186.2500     209.7500     0        "Step Down Converter with Forced PWM in SOT563 Package"                                                 "Texas Instruments"                        TLV62568ADRL              ""                          ""                        
U39        FSUSB42MUX                                                           TopLayer    SOP50P300X300X110-10N                 192.8834     192.5500     0        "IC USB SWITCH DPDT"                                                                                    "onsemi / Fairchild"                       FSUSB42MUX                ""                          ""                        
U38        NVT4858HKZ                                                           TopLayer    QFN40P180X260X55-16N                  192.7000     188.8000     90       "Levelshifter SD 3.0-SDR104, auto-direction, EMI filter and ESD protection"                             "NXP Semiconductors"                       NVT4858HKZ                ""                          ""                        
U35        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    159.7000     203.5000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U34        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    173.9500     235.3000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U33        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    131.2000     203.5000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U32        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    102.7000     203.5000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U31        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    88.4500      235.3000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U30        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    74.2000      203.5000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U29        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    145.4500     235.3000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U28        TPS54JB20RWWR                                                        TopLayer    VQFN-HR21_RWW0021A                    59.9500      235.3000     270      "Switching Voltage Regulators 2.7-V to 16-V input 20-A synchronous Buck"                                "Texas Instruments"                        TPS54JB20RWWR             ""                          ""                        
U27        PCT2075TP,147                                                        TopLayer    SOT1069-2_(HWSON8)                    105.6000     168.3000     90       "Digital Temp Sensor I2C"                                                                               NXP                                        PCT2075TP,147             ""                          ""                        
U26        PCT2075TP,147                                                        TopLayer    SOT1069-2_(HWSON8)                    103.1000     215.9000     0        "Digital Temp Sensor I2C"                                                                               NXP                                        PCT2075TP,147             ""                          ""                        
SW1        428521420910                                                         TopLayer    WÜRTH_428521420910                    17.0000      25.7500      90       "Rotary Switches WS-ROSV IP67 10Pos 2.54mm Lt Grey"                                                     "Würth Elektronik"                         428521420910              ""                          ""                        
R348       "0R Jumper"                                                          BottomLayer RES_0603_L                            204.9500     201.3500     180      "Thick Film Resistors - SMD 0Ohm Jumper"                                                                Yageo                                      RC0603JR-100RL            "Vishay / Draloric"         CRCW06030000Z0EBC         
R347       "10k 1%"                                                             TopLayer    RES_0402_L                            187.8500     198.8500     180      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R346       "0R Jumper"                                                          BottomLayer RES_0603_L                            204.9500     198.3500     180      "Thick Film Resistors - SMD 0Ohm Jumper"                                                                Yageo                                      RC0603JR-100RL            "Vishay / Draloric"         CRCW06030000Z0EBC         
R344       "10k 1%"                                                             TopLayer    RES_0402_L                            180.1000     213.3000     270      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R343       "10k 1%"                                                             TopLayer    RES_0402_L                            184.9000     211.7500     90       "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R342       "10k 1%"                                                             TopLayer    RES_0402_L                            185.7000     211.7500     270      "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R341       "100R 1%"                                                            TopLayer    RES_0402_L                            186.0500     212.9000     0        "Thick Film Resistors - SMD 100Ohm 1%"                                                                  "Vishay / Dale"                            CRCW0402100RFKEE          Yageo                       RC0402FR-7W100RL          
R340       "7.87k 1%"                                                           TopLayer    RES_0402_L                            186.5000     211.7500     270      "Thick Film Resistors - SMD 7.87kOhm 1%"                                                                Panasonic                                  ERJ-2RKF7871X             Yageo                       RC0402FR-077K87L          
R339       "20k 1%"                                                             TopLayer    RES_0402_L                            187.6500     211.4000     0        "Thick Film Resistors - SMD 20kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040220K0FKEDC         Yageo                       RC0402FR-7D20KL           
R338       "10k 1%"                                                             TopLayer    RES_0402_L                            197.7000     191.8000     90       "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
R337       "10k 1%"                                                             TopLayer    RES_0402_L                            197.7000     204.3000     90       "Thick Film Resistors - SMD 10kOhm 1%"                                                                  "Vishay / Dale"                            CRCW040210K0FKEDC         Yageo                       RC0402FR-7W10KL           
